season,episode,airdate,hosts,youtube_id,view_count,like_count,dislike_count,latitude,longitude,quote,movie,year,cover_url
1,1,11/2/2012,Gregg Turkington|Tim Heidecker,qFHLfmoLchI,551683,2909,38,NA,NA,NA,NA,NA
1,2,11/8/2012,Gregg Turkington|Tim Heidecker,SQZJktp-etk,206620,1586,23,NA,NA,NA,NA,NA
1,3,11/16/2012,Gregg Turkington|Tim Heidecker,nfOMBioJDJg,212462,1428,27,34.08896255,-118.31782532,"This is the cemetery lake where the film ""Hot Shots"" from 1991 starring Charlie Sheen was shot.",Hot Shots!,1991,https://m.media-amazon.com/images/M/MV5BNzgxNmI1ODItZWZlYy00ZjE0LWIwYjgtMTk2MzU0MjhkOWIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
1,4,11/21/2012,Gregg Turkington|Tim Heidecker,QYVJLsbciS8,172799,1266,15,NA,NA,NA,NA,NA
1,5,11/29/2012,Gregg Turkington|Tim Heidecker,WzFILC5bI_c,179440,1559,19,NA,NA,NA,NA,NA
1,6,12/6/2012,Gregg Turkington|Tim Heidecker,HMKm0CYEXDU,152893,1036,13,34.101767,-118.310374,"Today we're taking a look at the hotel that was seen in the movie ""Moment by Moment"" staring John Travolta and Lily Tomlin",Moment by Moment,1978,https://m.media-amazon.com/images/M/MV5BZTBmNTRmMmEtNmQyNS00YTZkLWIzOTQtYWQzZTFkYTdmZmM5XkEyXkFqcGdeQXVyMTAxMDQ0ODk@._V1_SX300.jpg
1,7,12/13/2012,Gregg Turkington|Tim Heidecker,Okikb3fpN4w,171981,1202,18,NA,NA,NA,NA,NA
1,8,12/21/2012,Gregg Turkington|Tim Heidecker,qjqfZhyGSrA,192569,1665,15,34.099272,-118.312278,"We're here right now at the apartment where Mr. [Bela] Lugosi passed away one sad gloomy day many, many years ago.",Abbott and Costello Meet Frankenstein,1948,https://m.media-amazon.com/images/M/MV5BNTZiZTQ4YjItY2Y4ZC00MTVhLThmYTEtYWM5NmRlNDI5Y2JmXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg
1,9,12/27/2012,Gregg Turkington|Tim Heidecker,vvoqgPay8bM,166175,1364,17,NA,NA,NA,NA,NA
1,10,1/10/2013,Gregg Turkington|Tim Heidecker,u75FIgboNHU,183084,1575,18,34.107382,-118.316822,"This is the house where Alicia Silverstone's character Eve lived and spent many great moments with Brendan Fraser, the star of the picture.",Blast from the Past,1999,https://m.media-amazon.com/images/M/MV5BZGFiZjRhMTYtZmMzYS00MGEyLWEzN2EtNWMzMjA3OGI0NGZlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
2,1,2/7/2013,Gregg Turkington|Tim Heidecker,LPw-R-WWdOc,176691,1315,13,NA,NA,NA,NA,NA
2,2,2/14/2013,Gregg Turkington|Tim Heidecker,1M2yXVn2GGA,189859,2039,34,NA,NA,NA,NA,NA
